player_id,first_name,last_name,phone_number,email,date_of_birth,join_date
1,Erie,Sent,618-612-2507,esent0@umich.edu,2/19/01,12/14/93
2,Clarette,Sperwell,301-573-5149,csperwell1@skype.com,2/18/76,5/13/83
3,Scotti,Jacomb,850-418-9510,sjacomb2@sphinn.com,1/7/02,6/10/90
4,Griff,Moncrieffe,772-259-0378,gmoncrieffe3@cdc.gov,12/20/62,10/29/71
5,Zerk,Di Batista,759-397-4691,zdibatista4@wikipedia.org,12/25/80,2/19/08
6,Eldredge,Butterfill,283-674-5073,ebutterfill5@cnet.com,4/29/53,1/9/93
7,Rebeca,Besse,795-250-4112,rbesse6@nba.com,4/19/00,9/14/12
8,Dina,Plevey,508-768-5313,dplevey7@jugem.jp,2/14/86,1/15/07
9,Mari,Fronsek,618-843-6988,mfronsek8@howstuffworks.com,7/30/80,4/13/89
10,Georgeanna,Godlip,954-191-0524,ggodlip9@engadget.com,3/10/52,8/1/90
11,Silvan,Kendrew,813-628-9354,skendrewa@tripod.com,4/6/74,11/1/71
12,Lyle,Byas,652-899-9396,lbyasb@ucla.edu,12/2/94,10/30/73
13,Brunhilda,Benedicto,661-172-1188,bbenedictoc@mtv.com,7/31/84,3/15/93
14,Carroll,Sotheby,684-510-0414,csothebyd@goodreads.com,1/10/59,7/17/83
15,Rose,Baugh,598-206-4447,rbaughe@fda.gov,5/12/76,3/15/92
16,Gordon,Grube,332-459-0233,ggrubef@indiegogo.com,6/3/59,9/1/99
17,Kakalina,Staples,767-602-9603,kstaplesg@mlb.com,9/14/66,10/4/82
18,Luca,Daspar,951-956-9618,ldasparh@netscape.com,5/12/80,9/3/15
19,Glenna,Walklate,590-299-9802,gwalklatei@cocolog-nifty.com,10/19/99,8/4/83
20,Mira,Gaythwaite,734-979-6465,mgaythwaitej@uol.com.br,5/13/69,5/17/13
21,Joe,Leggin,237-414-5359,jleggink@usgs.gov,4/11/57,8/6/10
22,Lynn,Scown,824-420-8724,lscownl@reverbnation.com,3/31/02,2/2/20
23,Almire,Butcher,142-828-5361,abutcherm@aol.com,8/1/76,6/2/17
24,Holden,Yewdale,220-775-1837,hyewdalen@plala.or.jp,11/4/81,9/9/94
25,Alexine,Chaplyn,829-273-2346,achaplyno@comcast.net,9/9/90,1/22/09
26,Hedvige,Brunone,109-423-9236,hbrunonep@google.com.hk,7/6/72,5/3/19
27,Rosella,Dymidowski,244-951-6976,rdymidowskiq@nifty.com,5/4/84,1/28/10
28,Page,Burchmore,547-101-7717,pburchmorer@com.com,9/13/85,9/2/93
29,Wyndham,Provis,131-275-3150,wproviss@nymag.com,9/20/56,5/21/79
30,Nelly,Brice,977-460-9701,nbricet@youku.com,8/3/53,11/6/76
31,Schuyler,Moehler,511-246-0496,smoehleru@blogtalkradio.com,10/31/51,1/8/88
32,Nata,Stitcher,100-508-8174,nstitcherv@sciencedirect.com,7/23/99,9/26/82
33,Christye,McGilvra,756-497-6301,cmcgilvraw@reuters.com,2/19/70,9/17/97
34,Mathew,Stillgoe,596-756-4682,mstillgoex@usda.gov,4/25/74,3/12/21
35,Muffin,Mound,878-724-0804,mmoundy@mayoclinic.com,10/15/63,12/5/98
36,Selle,Gager,635-567-8388,sgagerz@live.com,5/12/67,7/5/07
37,Toinette,McCritchie,156-710-9963,tmccritchie10@patch.com,10/21/70,7/28/10
38,Annelise,Shorie,844-557-8708,ashorie11@creativecommons.org,10/21/53,1/13/77
39,Beverie,Hinks,259-939-6235,bhinks12@deliciousdays.com,5/16/53,1/29/99
40,Lorenzo,Paulat,141-578-6011,lpaulat13@odnoklassniki.ru,10/30/77,9/15/92
41,Vanna,Basillon,399-574-9218,vbasillon14@barnesandnoble.com,9/3/76,2/5/95
42,Doroteya,Palister,279-644-7979,dpalister15@hatena.ne.jp,12/29/51,6/20/77
43,Goddart,Drought,121-322-9137,gdrought16@nps.gov,4/6/57,2/12/11
